time,metastable_switch
0.0,-0.6324156113350634
1.0,-1.1210533596688332
2.0,-0.8047900788740906
3.0,-1.461626471143286
4.0,-1.0841546481059485
5.0,-1.402103390734007
6.0,-0.7423876102709001
7.0,-1.368826177215065
8.0,-1.1198613317137631
9.0,-0.562509444081664
10.0,-0.9612955813197926
11.0,-1.3853304097793817
12.0,-0.775263718880295
13.0,-0.9665410511505874
14.0,-1.0457353490636074
15.0,-1.039822707321753
16.0,-0.982477929022406
17.0,-0.9977826969300986
18.0,-0.863215511133184
19.0,-0.6750854671998929
20.0,-0.9399878257527877
21.0,-0.9121537103295704
22.0,-0.7575553432632575
23.0,-1.104460729296714
24.0,-1.3054547217660974
25.0,-1.562740698234814
26.0,-0.751017944919214
27.0,-0.822867153922979
28.0,-1.103814719854874
29.0,-0.7052713440907533
30.0,-0.9140674492236747
31.0,-0.6452846797106682
32.0,-1.1898850903719487
33.0,-1.3571606763226958
34.0,-0.7601746374047263
35.0,-1.1848662561819492
36.0,-1.1473117195313185
37.0,-0.8216111006694966
38.0,-1.3642797405861513
39.0,-1.0709055597876571
40.0,-1.3379583137978326
41.0,-1.15555280662733
42.0,-1.799089081447244
43.0,-1.0173972667567945
44.0,-0.7115428416013573
45.0,-1.4535922683966875
46.0,-0.9211588030092586
47.0,-0.8365599636894142
48.0,-0.9504290717940106
49.0,-1.0871829335126142
50.0,-0.7733913446398922
51.0,-1.356699196400066
52.0,-1.5310150261040927
53.0,-0.6904023212389845
54.0,-0.4492333203912282
55.0,-1.2641629454128167
56.0,-0.9688864444474421
57.0,-0.7255179790294757
58.0,-0.5820361685528824
59.0,-1.0382295729470603
60.0,-1.111302782855098
61.0,-1.0927841012994277
62.0,-1.1580805116456847
63.0,-0.8138989313916557
64.0,-1.0927142259386273
65.0,-1.1402689874990135
66.0,-0.6712986271151212
67.0,-0.8052155553272136
68.0,-0.617037584145151
69.0,-1.3498100594695797
70.0,-0.9061825532152541
71.0,-0.7904848070342662
72.0,-0.5669053421117807
73.0,-1.2063065572087837
74.0,-1.2615219279970127
75.0,-1.066046810595994
76.0,-1.5468225067294452
77.0,-1.23203728798747
78.0,-1.188710013009305
79.0,-0.9712664571957839
80.0,-1.0207281954704994
81.0,-0.7539930197989549
82.0,-0.8835431541777182
83.0,-0.7327626918640048
84.0,-0.9949161822706867
85.0,-0.9284404989596428
86.0,-1.1209977410845928
87.0,-1.1555020263281177
88.0,-0.872622621596819
89.0,-1.119055181798773
90.0,-1.233829269130782
91.0,-1.0211831893091017
92.0,-0.6503287133452959
93.0,-0.7183179353489857
94.0,-0.4748000321164155
95.0,-1.0382315314306767
96.0,-1.0703765392636113
97.0,-0.7714004869708296
98.0,-1.0336987294508058
99.0,-0.9756861628355409
100.0,-0.8539758027603629
101.0,-0.7368013899758223
102.0,-1.0885205142809586
103.0,-0.899685501560816
104.0,-0.6243243392658528
105.0,-1.2296714662329342
106.0,-1.126916614797718
107.0,-1.4703967433371026
108.0,-0.803203979693611
109.0,-1.2047713595506142
110.0,-0.7639532341988287
111.0,-1.178178185698369
112.0,-0.9491373701967697
113.0,-0.8870146547083372
114.0,-0.5997069031016994
115.0,-1.1930245479978832
116.0,-0.968252190560928
117.0,-0.8609295310375459
118.0,-0.6942396499140588
119.0,-0.7612750431938149
120.0,-1.140921506975994
121.0,-1.1597434162288964
122.0,-0.601073538230495
123.0,-0.654352215455885
124.0,-0.6543732313621249
125.0,-0.9556371660590488
126.0,-0.8665359737673887
127.0,-0.48050625892393717
128.0,-1.0524075166070086
129.0,-1.274897133724627
130.0,-1.0739515627915461
131.0,-1.4079327253936043
132.0,-1.2928822127122617
133.0,-1.1768644848557155
134.0,-0.9128710444813404
135.0,-0.7417734234735158
136.0,-0.801772683079017
137.0,-1.036612477910247
138.0,-1.17326016879902
139.0,-0.7705994482970735
140.0,-0.9945074106774554
141.0,-0.9817686031571529
142.0,-0.8722131213741202
143.0,-1.5137369370139904
144.0,-1.6670974808829244
145.0,-1.3874975121128381
146.0,-0.9488307460096854
147.0,-0.5038871609333297
148.0,-0.7926107271008075
149.0,-1.4680894477653208
150.0,-0.9119948571450718
151.0,-0.683584104219842
152.0,-0.4829548533283179
153.0,-1.156882905936067
154.0,-0.7042175325819888
155.0,-1.0912074669214868
156.0,-0.923759359950499
157.0,-0.8004409142691362
158.0,-1.1063590899165723
159.0,-0.8803346274226221
160.0,-0.7402818349036405
161.0,-1.397794997219373
