time,stationary_ar1
0.0,0.0
1.0,-0.26575405132607366
2.0,0.34073627582755467
3.0,0.6305318004582354
4.0,0.7192109701091551
5.0,0.18930806467684264
6.0,0.013822692745244863
7.0,-0.019483342352826498
8.0,-0.46312573409501556
9.0,-0.008938408159747002
10.0,0.46458496176869796
11.0,0.23268851676291794
12.0,0.035877017507324305
13.0,0.4105115173993652
14.0,0.044200460286480614
15.0,-0.07683872247596338
16.0,-0.2250006511311563
17.0,0.03554252957583218
18.0,0.36766369352817935
19.0,0.16574066835827855
20.0,0.18456342367252718
21.0,0.16877746994459583
22.0,-0.290222517557401
23.0,-0.11704972040636971
24.0,-0.02816403922021586
25.0,0.10846171244045023
26.0,-0.016212031986810746
27.0,-0.3922880194766482
28.0,-0.42805802034896984
29.0,-0.24111909218705696
30.0,-0.23118663513282683
31.0,-0.7070187718694904
32.0,-0.973755016283384
33.0,-0.6656090180605578
34.0,-0.844328902293087
35.0,-0.756657531249705
36.0,-0.6168422468214024
37.0,-1.0483135711548868
38.0,-1.361396525885252
39.0,-1.3749243481420539
40.0,-0.6863106720383422
41.0,-0.6842160516988975
42.0,-0.7957866420237409
43.0,-0.8240204489866176
44.0,-0.7421770314197756
45.0,-0.654676715730124
46.0,-0.24621315216107237
47.0,0.07286953989713432
48.0,0.03713154418805468
49.0,0.19914228998661843
50.0,0.11938754976909413
51.0,-0.35326868279652074
52.0,-0.08781184274859719
53.0,0.07651984013243766
54.0,0.24770752209990266
55.0,0.3648336676768224
56.0,0.6426095236516634
57.0,-0.012702523673864485
58.0,0.30417047123391616
59.0,0.5292252586891464
60.0,0.7046757941554209
61.0,0.5493768282946091
62.0,0.18328900057897696
63.0,0.06518991251585973
64.0,-0.058748346155151954
65.0,0.43564740510101785
66.0,0.23837100954718157
67.0,-0.13149298440661245
68.0,-0.3022138166476642
69.0,0.06251998940945303
70.0,0.060248546344955425
71.0,0.04467045783392361
72.0,-0.3322305371696024
73.0,-0.2341188199617809
74.0,-0.5017980964108248
75.0,-0.588469654149943
76.0,-1.0003852640977688
77.0,-0.9455022843142763
78.0,-1.4307742031615256
79.0,-1.6156242987073295
80.0,-1.7372574236004323
81.0,-1.9085209387714817
82.0,-1.72251178983689
83.0,-1.631839960519074
84.0,-1.4555502722330225
85.0,-1.2025385873322734
86.0,-1.2821335624079233
87.0,-0.896514786266255
88.0,-0.7253742441689184
89.0,-1.1999232042153503
90.0,-1.30996749274034
91.0,-1.6220880523137755
92.0,-0.9897564417410176
93.0,-0.6314158176729028
94.0,-0.6501267846046147
95.0,-0.6513977892705258
96.0,-1.293413129942077
97.0,-1.1040996197969675
98.0,-1.3880139612989844
99.0,-1.326209152583641
100.0,-1.2558334090693246
101.0,-0.938418899955748
102.0,-0.4823407606107624
103.0,-0.13816197858204526
104.0,0.1287317737644832
105.0,0.20889719845059446
106.0,0.3443486169044461
107.0,0.3783807425082525
108.0,0.4670421985225668
109.0,0.3971372675159225
110.0,0.2794989089585353
111.0,-0.32350492095826716
112.0,-0.2320565059658849
113.0,-0.15531915848720879
114.0,-0.1692188836529365
115.0,-0.4567795210017698
116.0,-0.7802168308021602
117.0,-0.8917260384884685
118.0,-0.9946986528130926
119.0,-1.297934315127988
120.0,-0.9879906471927035
121.0,-0.7279096968856944
122.0,-1.0178536902695143
123.0,-1.2430202020603063
124.0,-0.9101321746659364
125.0,-1.4660712894945431
126.0,-1.9594435232052647
127.0,-1.8235425495006887
128.0,-1.7477171719377775
129.0,-1.3844328020859142
130.0,-1.8918041012721498
131.0,-1.363596935471113
132.0,-1.4092127704326416
133.0,-1.737644686498877
134.0,-1.4460318703423551
135.0,-0.9871928518167996
136.0,-1.2569010317033562
137.0,-0.8852531388529483
138.0,-0.863935831795156
139.0,-1.010503668817329
140.0,-1.149945164782848
141.0,-1.452558937124544
142.0,-1.5793233560672475
143.0,-1.1367661408833056
144.0,-1.2935372864850514
145.0,-1.1308069849189424
146.0,-0.8135845933945052
147.0,-0.9200668061176585
148.0,-0.667882592096077
149.0,-1.1675676966900168
150.0,-0.9115238369440777
151.0,-0.888636486627315
152.0,-1.4599673926530339
153.0,-0.2502616555382422
154.0,0.19856117350045435
155.0,0.010116514590530146
156.0,0.011529842324209193
157.0,-0.3429057715000024
